user_id,order_id,date,amount,merchant_id,purchase_status,month,year,week,weekday,first_tran_date,tenure_days,first_tran_month,tran_month,type_user,total_tx,rate_pct,revenue
21269588,4169517626,2020-01-01,10000,13,,1,2020,1,Wednesday,2018-12-11,386.0,2018-12,2020-01,Current,1,3,300.0
28097592,4170276686,2020-01-01,20000,13,,1,2020,1,Wednesday,2019-12-30,2.0,2019-12,2020-01,Current,1,3,600.0
47435144,4166729310,2020-01-01,10000,12,,1,2020,1,Wednesday,2019-11-11,51.0,2019-11,2020-01,Current,1,2,200.0
29080935,4174460303,2020-01-01,10000,13,,1,2020,1,Wednesday,2019-10-24,69.0,2019-10,2020-01,Current,1,3,300.0
14591075,4168216749,2020-01-01,10000,12,,1,2020,1,Wednesday,2019-12-28,4.0,2019-12,2020-01,Current,1,2,200.0
43155015,4171808289,2020-01-01,10000,12,,1,2020,1,Wednesday,2019-11-21,41.0,2019-11,2020-01,Current,1,2,200.0
50568745,4168401164,2020-01-01,10000,13,,1,2020,1,Wednesday,2019-11-07,55.0,2019-11,2020-01,Current,1,3,300.0
38802645,4167009272,2020-01-01,20000,12,,1,2020,1,Wednesday,2019-12-29,3.0,2019-12,2020-01,Current,1,2,400.0
28698657,4166562735,2020-01-01,10000,15,,1,2020,1,Wednesday,2016-11-27,1130.0,2016-11,2020-01,Current,1,4,400.0
42557469,4168300611,2020-01-01,50000,12,,1,2020,1,Wednesday,2019-04-20,256.0,2019-04,2020-01,Current,1,2,1000.0
45179287,4172775542,2020-01-01,30000,12,,1,2020,1,Wednesday,2019-01-24,342.0,2019-01,2020-01,Current,1,2,600.0
49801960,4173144327,2020-01-01,10000,14,,1,2020,1,Wednesday,2019-12-18,14.0,2019-12,2020-01,Current,1,4,400.0
48442020,4172250872,2020-01-01,50000,14,,1,2020,1,Wednesday,2019-08-01,153.0,2019-08,2020-01,Current,1,4,2000.0
36845154,4172898831,2020-01-01,50000,12,,1,2020,1,Wednesday,2019-04-28,248.0,2019-04,2020-01,Current,1,2,1000.0
42275799,4174262889,2020-01-01,50000,13,,1,2020,1,Wednesday,2019-10-18,75.0,2019-10,2020-01,Current,1,3,1500.0
36313144,4170080390,2020-01-01,30000,14,,1,2020,1,Wednesday,2018-04-18,623.0,2018-04,2020-01,Current,1,4,1200.0
50912625,4169639519,2020-01-01,30000,13,,1,2020,1,Wednesday,2019-11-21,41.0,2019-11,2020-01,Current,1,3,900.0
15602866,4172907480,2020-01-01,50000,13,,1,2020,1,Wednesday,2019-11-09,53.0,2019-11,2020-01,Current,1,3,1500.0
20016834,4168541794,2020-01-01,50000,13,Purchase on behalf of someone,1,2020,1,Wednesday,2018-05-23,588.0,2018-05,2020-01,Current,1,3,1500.0
35501803,4173353083,2020-01-01,100000,13,Purchase on behalf of someone,1,2020,1,Wednesday,2019-07-03,182.0,2019-07,2020-01,Current,1,3,3000.0
31031180,4173831250,2020-01-01,50000,13,Purchase on behalf of someone,1,2020,1,Wednesday,2019-05-30,216.0,2019-05,2020-01,Current,1,3,1500.0
29638368,4170342010,2020-01-01,100000,12,Purchase on behalf of someone,1,2020,1,Wednesday,2019-03-06,301.0,2019-03,2020-01,Current,1,2,2000.0
26273764,4168184448,2020-01-01,200000,14,Purchase on behalf of someone,1,2020,1,Wednesday,2019-10-29,64.0,2019-10,2020-01,Current,1,4,8000.0
32556798,4173098103,2020-01-01,100000,13,Purchase on behalf of someone,1,2020,1,Wednesday,2017-05-11,965.0,2017-05,2020-01,Current,1,3,3000.0
41450353,4172714338,2020-01-01,100000,12,Purchase on behalf of someone,1,2020,1,Wednesday,2018-03-30,642.0,2018-03,2020-01,Current,1,2,2000.0
41427375,4174362033,2020-01-01,200000,12,Purchase on behalf of someone,1,2020,1,Wednesday,2018-04-04,637.0,2018-04,2020-01,Current,1,2,4000.0
20770193,4171611019,2020-01-01,500000,13,Purchase on behalf of someone,1,2020,1,Wednesday,2018-02-01,699.0,2018-02,2020-01,Current,1,3,15000.0
38568294,4177585867,2020-01-02,10000,13,,1,2020,1,Thursday,2018-10-30,429.0,2018-10,2020-01,Current,1,3,300.0
42823224,4177578804,2020-01-02,10000,13,,1,2020,1,Thursday,2018-09-25,464.0,2018-09,2020-01,Current,1,3,300.0
14918070,4175600541,2020-01-02,10000,12,,1,2020,1,Thursday,2019-03-19,289.0,2019-03,2020-01,Current,1,2,200.0
50111941,4179472145,2020-01-02,20000,12,,1,2020,1,Thursday,2019-11-01,62.0,2019-11,2020-01,Current,1,2,400.0
45570169,4175467760,2020-01-02,20000,12,,1,2020,1,Thursday,2019-02-22,314.0,2019-02,2020-01,Current,1,2,400.0
17342870,4178318599,2020-01-02,50000,12,,1,2020,1,Thursday,2020-01-02,0.0,2020-01,2020-01,New,1,2,1000.0
44903164,4182227292,2020-01-02,20000,12,,1,2020,1,Thursday,2019-01-15,352.0,2019-01,2020-01,Current,1,2,400.0
46643618,4175607358,2020-01-02,10000,12,,1,2020,1,Thursday,2019-04-10,267.0,2019-04,2020-01,Current,1,2,200.0
45314265,4182856061,2020-01-02,50000,12,,1,2020,1,Thursday,2019-01-30,337.0,2019-01,2020-01,Current,1,2,1000.0
40286438,4176928288,2020-01-02,50000,12,,1,2020,1,Thursday,2018-02-27,674.0,2018-02,2020-01,Current,1,2,1000.0
37356945,4182555272,2020-01-02,50000,14,,1,2020,1,Thursday,2017-02-28,1038.0,2017-02,2020-01,Current,1,4,2000.0
39557508,4180781659,2020-01-02,30000,13,Purchase on behalf of someone,1,2020,1,Thursday,2019-12-13,20.0,2019-12,2020-01,Current,1,3,900.0
6483747,4178859972,2020-01-02,30000,12,,1,2020,1,Thursday,2019-03-11,297.0,2019-03,2020-01,Current,1,2,600.0
40234431,4177771395,2020-01-02,30000,13,,1,2020,1,Thursday,2017-12-26,737.0,2017-12,2020-01,Current,1,3,900.0
34589794,4177253223,2020-01-02,20000,12,,1,2020,1,Thursday,2017-07-23,893.0,2017-07,2020-01,Current,1,2,400.0
49639792,4184029048,2020-01-02,50000,12,,1,2020,1,Thursday,2019-10-15,79.0,2019-10,2020-01,Current,1,2,1000.0
27252617,4184042462,2020-01-02,100000,12,Purchase on behalf of someone,1,2020,1,Thursday,2019-08-28,127.0,2019-08,2020-01,Current,1,2,2000.0
28327930,4179781809,2020-01-02,100000,14,Purchase on behalf of someone,1,2020,1,Thursday,2017-05-05,972.0,2017-05,2020-01,Current,1,4,4000.0
51720976,4181662960,2020-01-02,200000,13,Purchase on behalf of someone,1,2020,1,Thursday,2020-01-01,1.0,2020-01,2020-01,New,1,3,6000.0
14751825,4176283500,2020-01-02,100000,12,Purchase on behalf of someone,1,2020,1,Thursday,2019-01-28,339.0,2019-01,2020-01,Current,1,2,2000.0
42664618,4183971155,2020-01-02,100000,12,Purchase on behalf of someone,1,2020,1,Thursday,2019-10-26,68.0,2019-10,2020-01,Current,1,2,2000.0
42645002,4175356264,2020-01-02,100000,12,Purchase on behalf of someone,1,2020,1,Thursday,2019-06-13,203.0,2019-06,2020-01,Current,1,2,2000.0
48104068,4182174335,2020-01-02,20000,13,,1,2020,1,Thursday,2019-09-14,110.0,2019-09,2020-01,Current,1,3,600.0
37319421,4183269838,2020-01-02,20000,14,,1,2020,1,Thursday,2019-06-14,202.0,2019-06,2020-01,Current,1,4,800.0
39040327,4180919466,2020-01-02,20000,12,,1,2020,1,Thursday,2019-05-20,227.0,2019-05,2020-01,Current,4,2,400.0
39040327,4180919466,2020-01-02,20000,12,,1,2020,1,Thursday,2019-05-20,227.0,2019-05,2020-01,Current,4,2,400.0
51461883,4177498856,2020-01-02,10000,12,,1,2020,1,Thursday,2019-12-08,25.0,2019-12,2020-01,Current,1,2,200.0
51892918,4182152019,2020-01-02,50000,13,Purchase on behalf of someone,1,2020,1,Thursday,2019-12-24,9.0,2019-12,2020-01,Current,1,3,1500.0
33127817,4181199882,2020-01-02,200000,13,Purchase on behalf of someone,1,2020,1,Thursday,2019-08-04,151.0,2019-08,2020-01,Current,1,3,6000.0
39667677,4191745972,2020-01-03,10000,15,,1,2020,1,Friday,2018-10-18,442.0,2018-10,2020-01,Current,1,4,400.0
23456872,4185462148,2020-01-03,50000,12,,1,2020,1,Friday,2018-03-07,667.0,2018-03,2020-01,Current,1,2,1000.0
40691982,4185316342,2020-01-03,10000,13,,1,2020,1,Friday,2018-06-14,568.0,2018-06,2020-01,Current,1,3,300.0
48306901,4189247472,2020-01-03,10000,12,,1,2020,1,Friday,2019-08-16,140.0,2019-08,2020-01,Current,1,2,200.0
43954633,4188909994,2020-01-03,10000,12,,1,2020,1,Friday,2018-10-26,434.0,2018-10,2020-01,Current,1,2,200.0
50295353,4191811733,2020-01-03,10000,12,,1,2020,1,Friday,2019-10-28,67.0,2019-10,2020-01,Current,1,2,200.0
40567484,4188917695,2020-01-03,10000,12,,1,2020,1,Friday,2019-07-07,180.0,2019-07,2020-01,Current,1,2,200.0
18625241,4188950970,2020-01-03,50000,13,,1,2020,1,Friday,2019-04-19,259.0,2019-04,2020-01,Current,1,3,1500.0
22151570,4190923313,2020-01-03,50000,15,,1,2020,1,Friday,2018-12-22,377.0,2018-12,2020-01,Current,1,4,2000.0
41333369,4190070748,2020-01-03,20000,12,,1,2020,1,Friday,2018-03-17,657.0,2018-03,2020-01,Current,1,2,400.0
48283680,4187484249,2020-01-03,10000,12,,1,2020,1,Friday,2019-08-30,126.0,2019-08,2020-01,Current,1,2,200.0
49929654,4186818445,2020-01-03,50000,13,,1,2020,1,Friday,2019-11-16,48.0,2019-11,2020-01,Current,1,3,1500.0
36034244,4185276800,2020-01-03,50000,12,,1,2020,1,Friday,2018-09-23,467.0,2018-09,2020-01,Current,1,2,1000.0
45636789,4184331151,2020-01-03,20000,12,,1,2020,1,Friday,2019-02-11,326.0,2019-02,2020-01,Current,1,2,400.0
46589604,4191064185,2020-01-03,10000,13,,1,2020,1,Friday,2019-04-02,276.0,2019-04,2020-01,Current,1,3,300.0
34086017,4188178189,2020-01-03,50000,13,,1,2020,1,Friday,2018-11-27,402.0,2018-11,2020-01,Current,1,3,1500.0
45824431,4189522303,2020-01-03,30000,13,Purchase on behalf of someone,1,2020,1,Friday,2019-05-29,219.0,2019-05,2020-01,Current,1,3,900.0
38991899,4187610201,2020-01-03,20000,13,,1,2020,1,Friday,2017-11-30,764.0,2017-11,2020-01,Current,1,3,600.0
